league,is_sorted,min_date,max_date,n_samples,pct_home,pct_draw,pct_away,suspicious_cols,elo_ok
championship,True,2021-08-06,2024-05-04,1656,43.41787439613526,25.181159420289855,31.40096618357488,[],True
ligue1,True,2021-08-06,2024-05-19,1066,41.74484052532833,25.797373358348967,32.4577861163227,[],True
laliga,True,2021-08-13,2024-05-26,1140,45.08771929824562,26.92982456140351,27.982456140350877,[],True
epl,True,2021-08-13,2024-05-19,1140,45.78947368421053,22.54385964912281,31.666666666666664,[],True
bundesliga,True,2021-08-13,2024-05-18,918,45.969498910675384,24.94553376906318,29.08496732026144,[],True
seriea,True,2021-08-21,2024-06-02,1139,41.000877963125546,27.216856892010536,31.782265144863914,[],True
