League,N,CB,PS,Ens%,Mkt%,Bets,PnL,ROI%
EPL,177,0.457,0.313,56.49717514124294,61.5819209039548,148,-45.64,-30.83783783783784
LALIGA,182,0.636,0.333,54.94505494505495,54.395604395604394,82,-6.869999999999998,-8.378048780487802
SERIEA,180,0.47,0.143,46.666666666666664,50.55555555555556,99,-9.819999999999993,-9.919191919191912
BUNDESLIGA,154,0.708,0.085,51.94805194805194,54.54545454545454,117,0.96,0.8205128205128205
LIGUE1,144,0.416,0.402,47.91666666666667,50.69444444444444,94,-16.11,-17.138297872340424
CHAMPIONSHIP,227,0.391,0.233,45.37444933920705,49.33920704845815,164,24.220000000000002,14.76829268292683
