bin,mean_pred,mean_actual,count,class
0.0-0.1,0.05,,0,Draw
0.1-0.2,0.17043881776507266,0.18781725888324874,197,Draw
0.2-0.3,0.2564780347215178,0.2692307692307692,702,Draw
0.3-0.4,0.31445860198856906,0.27631578947368424,76,Draw
0.4-0.5,0.45,,0,Draw
0.5-0.6,0.55,,0,Draw
0.6-0.7,0.6500000000000001,,0,Draw
0.7-0.8,0.75,,0,Draw
0.8-0.9,0.8500000000000001,,0,Draw
0.9-1.0,0.95,,0,Draw
