event_id,kickoff_time,snapshot_time,horizon_hours,label,label_str,odds_home,odds_draw,odds_away,implied_home,implied_draw,implied_away,no_vig_home,no_vig_draw,no_vig_away,market_overround,line_dispersion_home,line_dispersion_draw,line_dispersion_away,book_count,elo_home,elo_away,elo_diff,form_pts_home_l5,form_pts_away_l5,form_gf_home_l5,form_gf_away_l5,form_ga_home_l5,form_ga_away_l5,rest_days_home,rest_days_away,league,home_team,away_team
Bournemouth_West Brom_20210806,2021-08-06,2021-08-06,0,1,D,2.42,3.44,3.3,0.4132231404958678,0.29069767441860467,0.30303030303030304,0.41037060601240655,0.28869094957849534,0.30093844440909817,1.0069511179447754,0.04847679857416331,0.06869315832017042,0.058309518948452904,4,1500.0,1500.0,0.0,1.2,1.2,1.3,1.3,1.3,1.3,7.0,7.0,Championship,Bournemouth,West Brom
Monaco_Nantes_20210806,2021-08-06,2021-08-06,0,1,D,1.54,4.71,7.0,0.6493506493506493,0.21231422505307856,0.14285714285714285,0.6464274930690895,0.21135845845571083,0.1422140484751997,1.0045220172608706,0.03640054944640263,0.14306903927824494,0.22045407685048604,4,1500.0,1500.0,0.0,1.2,1.2,1.3,1.3,1.3,1.3,7.0,7.0,Ligue1,Monaco,Nantes
Stoke_Reading_20210807,2021-08-07,2021-08-07,0,0,H,2.15,3.4,4.0,0.46511627906976744,0.29411764705882354,0.25,0.4608607251779058,0.2914266350389699,0.24771263978312436,1.009233926128591,0.035619517121937554,0.0665206734782503,0.10133484099755623,4,1500.0,1500.0,0.0,1.2,1.2,1.3,1.3,1.3,1.3,7.0,7.0,Championship,Stoke,Reading
Troyes_Paris SG_20210807,2021-08-07,2021-08-07,0,2,A,13.0,6.3,1.31,0.07692307692307693,0.15873015873015872,0.7633587786259541,0.07699915098476438,0.15888713695268838,0.7641137120625472,0.9990120142791898,0.8198475468036724,0.15039531242695034,0.021650635094610984,4,1500.0,1500.0,0.0,1.2,1.2,1.3,1.3,1.3,1.3,7.0,7.0,Ligue1,Troyes,Paris SG
Cardiff_Barnsley_20210807,2021-08-07,2021-08-07,0,1,D,2.4,3.4,3.57,0.4166666666666667,0.29411764705882354,0.2801120448179272,0.4204946996466431,0.2968197879858657,0.2826855123674912,0.9908963585434174,0.07123903424387495,0.09433981132056597,0.14404860290887922,4,1500.0,1500.0,0.0,1.2,1.2,1.3,1.3,1.3,1.3,7.0,7.0,Championship,Cardiff,Barnsley
Bristol City_Blackpool_20210807,2021-08-07,2021-08-07,0,1,D,2.32,3.45,3.43,0.4310344827586207,0.2898550724637681,0.29154518950437314,0.42574050821907466,0.28629506639659513,0.2879644253843303,1.0124347447267619,0.06284902544988265,0.04636809247747863,0.05315072906367339,4,1500.0,1500.0,0.0,1.2,1.2,1.3,1.3,1.3,1.3,7.0,7.0,Championship,Bristol City,Blackpool
Blackburn_Swansea_20210807,2021-08-07,2021-08-07,0,0,H,2.26,3.41,3.75,0.4424778761061947,0.29325513196480935,0.26666666666666666,0.4414186150070248,0.29255309968207505,0.2660282853109002,1.0023996747376707,0.059160797830996044,0.04743416490252569,0.13102957681378663,4,1500.0,1500.0,0.0,1.2,1.2,1.3,1.3,1.3,1.3,7.0,7.0,Championship,Blackburn,Swansea
Luton_Peterboro_20210807,2021-08-07,2021-08-07,0,0,H,2.3,3.61,3.5,0.4347826086956522,0.2770083102493075,0.2857142857142857,0.43587001517869467,0.27770111770387745,0.2864288671174279,0.9975052046592454,0.07495832175282463,0.0978199877325693,0.10606601717798211,4,1500.0,1500.0,0.0,1.2,1.2,1.3,1.3,1.3,1.3,7.0,7.0,Championship,Luton,Peterboro
QPR_Millwall_20210807,2021-08-07,2021-08-07,0,1,D,2.19,3.5,3.84,0.4566210045662101,0.2857142857142857,0.2604166666666667,0.45536785184281675,0.2849301701530767,0.25970197800410644,1.0027519569471626,0.05024937810560449,0.061032778078668505,0.10392304845413251,4,1500.0,1500.0,0.0,1.2,1.2,1.3,1.3,1.3,1.3,7.0,7.0,Championship,QPR,Millwall
Derby_Huddersfield_20210807,2021-08-07,2021-08-07,0,1,D,5.0,3.95,1.82,0.2,0.2531645569620253,0.5494505494505494,0.19947834290629596,0.2525042315269569,0.548017425566747,1.0026151064125748,0.1823972313386363,0.08602325267042635,0.03631459761583491,4,1500.0,1500.0,0.0,1.2,1.2,1.3,1.3,1.3,1.3,7.0,7.0,Championship,Derby,Huddersfield
Preston_Hull_20210807,2021-08-07,2021-08-07,0,2,A,2.45,3.44,3.26,0.4081632653061224,0.29069767441860467,0.3067484662576687,0.40588648323886867,0.2890761290509385,0.30503738771019273,1.005609405982396,0.07595228765481665,0.06647367900154164,0.06745368781616014,4,1500.0,1500.0,0.0,1.2,1.2,1.3,1.3,1.3,1.3,7.0,7.0,Championship,Preston,Hull
Sheffield United_Birmingham_20210807,2021-08-07,2021-08-07,0,2,A,1.9,3.6,5.0,0.5263157894736842,0.2777777777777778,0.2,0.52417006406523,0.27664531158998257,0.19918462434478745,1.004093567251462,0.05315072906367322,0.0544862367942584,0.14754236679679517,4,1500.0,1500.0,0.0,1.2,1.2,1.3,1.3,1.3,1.3,7.0,7.0,Championship,Sheffield United,Birmingham
Lyon_Brest_20210807,2021-08-07,2021-08-07,0,1,D,1.37,6.4,9.39,0.7299270072992701,0.15625,0.10649627263045792,0.7353144504412792,0.15740324954758633,0.10728230001113445,0.992673279929728,0.014790199457749054,0.5109305236526783,0.46429381861058666,4,1500.0,1500.0,0.0,1.2,1.2,1.3,1.3,1.3,1.3,7.0,7.0,Ligue1,Lyon,Brest
